unique_id,mac_address,ip_address,accessed_at,iban,session_duration,download_speed,upload_speed,consumed_traffic,mac_address_right,ip_address_right,accessed_at_right
9c49f1d9-8a30-4d79-88b4-66d9a4a437ee,86:13:98:99:3a:75,86.77.59.254,2025-01-28T18:39:11.000000,RO86RDJW2679633314982798,14791,629,547,582781,86:13:98:99:3a:75,86.77.59.254,2025-01-28T18:39:11.000000
78084449-ce87-4b18-9846-a4f560510ea7,50:49:a7:a1:f2:f9,125.129.179.131,2024-08-07T21:16:47.000000,RO11AACB3044499259531800,4304,493,268,1741659,50:49:a7:a1:f2:f9,125.129.179.131,2024-08-07T21:16:47.000000
f691e314-b6ef-4c45-8840-e05a251c14c4,4c:18:51:8e:5b:9f,170.95.109.59,2025-01-06T02:25:52.000000,RO66YTHO0991794145649654,4554,257,580,281761,4c:18:51:8e:5b:9f,170.95.109.59,2025-01-06T02:25:52.000000
9f95a829-079f-44d9-a708-6dd6f0c0932c,34:80:d4:95:e9:78,99.174.143.247,2025-06-12T11:59:10.000000,RO91MOCE7326952513023802,15840,788,409,1417322,34:80:d4:95:e9:78,99.174.143.247,2025-06-12T11:59:10.000000
bb63bef2-8907-4dbf-9734-af7bc4b3055e,de:8b:fe:51:fb:5c,139.183.0.96,2024-09-25T12:40:51.000000,RO62ZFGW9390831837971486,14815,18,756,1383967,de:8b:fe:51:fb:5c,139.183.0.96,2024-09-25T12:40:51.000000
18ea5068-63fa-4164-a31d-a98cec21344b,0a:22:41:eb:a0:44,71.0.102.76,2024-07-06T21:34:51.000000,RO52DENQ2826407443334340,8884,335,292,1050162,0a:22:41:eb:a0:44,71.0.102.76,2024-07-06T21:34:51.000000
cc2dfdb9-02cd-4990-a224-8986782ce2f0,78:9d:73:e0:12:2b,184.173.250.197,2024-12-18T16:52:46.000000,RO60NUEQ2538865180487433,370,775,469,1165636,78:9d:73:e0:12:2b,184.173.250.197,2024-12-18T16:52:46.000000
59765bdd-fb64-4f58-b711-fd6a34157a8b,2a:32:8c:28:d7:87,11.15.232.57,2025-04-13T21:18:29.000000,RO68UAUU6787457438042544,23352,202,176,853753,2a:32:8c:28:d7:87,11.15.232.57,2025-04-13T21:18:29.000000
f4be8c13-6306-4dd8-aa33-6351e57d6adc,8a:c3:77:e1:44:7e,24.125.132.67,2024-07-19T22:51:24.000000,RO23RWPW3074040174119799,18036,586,80,894050,8a:c3:77:e1:44:7e,24.125.132.67,2024-07-19T22:51:24.000000
98fbb3be-b47c-4a81-8353-5340a0914b8c,9e:d0:89:26:eb:a2,50.79.225.87,2025-06-21T01:23:49.000000,RO22ILKI6516456148507655,28450,291,631,1302886,9e:d0:89:26:eb:a2,50.79.225.87,2025-06-21T01:23:49.000000
1185c2e0-dc7e-4687-a5aa-7145414f1070,4e:4d:76:de:f4:c0,208.222.26.76,2025-03-26T14:31:19.000000,RO05UQAJ3804244881247021,31483,753,450,756994,4e:4d:76:de:f4:c0,208.222.26.76,2025-03-26T14:31:19.000000
8da48d3c-fa57-431d-9259-e1bd6828c5a3,70:b4:d7:b7:b0:de,207.177.66.206,2024-10-04T06:36:28.000000,RO85JZDY1136243225429292,12615,271,546,1703619,70:b4:d7:b7:b0:de,207.177.66.206,2024-10-04T06:36:28.000000
9754bcc4-1e1f-4394-82b1-6771ca0a0fa5,5c:59:28:f2:9a:b2,143.85.232.255,2025-03-27T18:17:43.000000,RO16DYIJ6710828551295928,28571,790,731,1682658,5c:59:28:f2:9a:b2,143.85.232.255,2025-03-27T18:17:43.000000
45d352b2-825c-4dc8-85d1-2795089ac7e1,a2:db:ca:5d:a4:6c,215.186.173.202,2025-05-28T15:50:36.000000,RO05VSEX7495205249022818,328,923,706,1481685,a2:db:ca:5d:a4:6c,215.186.173.202,2025-05-28T15:50:36.000000
e5c198d8-9762-4197-bc18-5dee9682ad57,ca:30:80:9c:58:e8,158.166.239.60,2025-06-16T00:55:04.000000,RO75IRHQ8348720310780839,4654,716,443,1360297,ca:30:80:9c:58:e8,158.166.239.60,2025-06-16T00:55:04.000000
4d1f482c-eb38-45e9-a3fa-947a2b18ebb4,8a:3f:f2:b8:99:64,130.238.217.54,2025-04-04T22:54:48.000000,RO47LWNF6351066763025860,20309,798,701,1505786,8a:3f:f2:b8:99:64,130.238.217.54,2025-04-04T22:54:48.000000
df15e89c-097d-4cbb-94ab-8edb8d9d9418,fa:29:ff:28:85:e6,99.62.208.194,2024-11-25T01:24:34.000000,RO46JOUY5345873667256775,166,269,457,744590,fa:29:ff:28:85:e6,99.62.208.194,2024-11-25T01:24:34.000000
1174cf31-4bf0-4251-abaa-ea9a02d33bf1,c6:40:1b:20:1c:0a,150.110.138.250,2025-03-19T11:50:32.000000,RO68GAIA9517470189660040,23569,860,624,1824,c6:40:1b:20:1c:0a,150.110.138.250,2025-03-19T11:50:32.000000
d389c889-4c39-442f-af48-2755e79e892f,18:b0:df:b3:97:a9,90.79.136.165,2024-10-11T13:14:43.000000,RO13JZXU4604062598330988,15829,702,784,300625,18:b0:df:b3:97:a9,90.79.136.165,2024-10-11T13:14:43.000000
9ba81ccb-9308-4289-84f1-2dac5db781c0,70:68:dc:97:91:a4,144.208.50.110,2025-05-20T01:41:34.000000,RO77DTXM3948664799741151,18019,298,664,1353792,70:68:dc:97:91:a4,144.208.50.110,2025-05-20T01:41:34.000000
eb2cdaa0-33d0-43c0-8db0-253834a1db2e,e0:79:d2:b6:ad:9f,79.174.145.78,2025-01-26T23:44:17.000000,RO24DYWS3365839471551189,24493,753,311,865240,e0:79:d2:b6:ad:9f,79.174.145.78,2025-01-26T23:44:17.000000
bc3bd469-5d48-4362-ba30-c3ab029b183f,f2:7b:e5:9e:ed:e3,69.23.107.199,2024-07-20T07:05:52.000000,RO53PSAG0319655490425788,5341,131,106,144934,f2:7b:e5:9e:ed:e3,69.23.107.199,2024-07-20T07:05:52.000000
6b0c6130-0ca8-4ec1-8112-c1b693b090d8,06:30:d6:3f:4f:28,193.81.162.195,2024-11-27T03:48:09.000000,RO68RTZQ9493483110415876,13590,25,173,1649067,06:30:d6:3f:4f:28,193.81.162.195,2024-11-27T03:48:09.000000
6f55d3bd-be42-4d6b-8bdf-723ce0d69f46,4c:10:7d:34:6e:c9,187.226.150.160,2025-04-18T03:12:29.000000,RO59VAKQ0289257202286152,31074,705,350,449265,4c:10:7d:34:6e:c9,187.226.150.160,2025-04-18T03:12:29.000000
2896cdd5-1ee4-48e4-924e-ab14c6ea65d5,de:ce:e7:e9:f4:59,111.225.1.20,2024-12-29T19:36:58.000000,RO22EUAW7080145469361517,16562,245,162,1987563,de:ce:e7:e9:f4:59,111.225.1.20,2024-12-29T19:36:58.000000
951a63be-c01d-4f58-9189-3a53260fe5a4,aa:d0:7d:16:ac:4a,21.205.233.217,2024-08-20T22:09:14.000000,RO86TJCV6449032861464734,25987,925,33,1131824,aa:d0:7d:16:ac:4a,21.205.233.217,2024-08-20T22:09:14.000000
