person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Marinela Ababei,marinelaababei,marinelaababei@acasa.ro,8631107461419,1911-08-25,"Bulevardul Pușcașu Nr. 52, Vlahita, 836900",0250 988 290,86:13:98:99:3a:75,86.77.59.254,RO86RDJW2679633314982798,2025-01-28T18:39:11.000000,14791,629,547,582781,9c49f1d9-8a30-4d79-88b4-66d9a4a437ee
Sanda Oprea,sandaoprea,sandaoprea@gmail.com,6120610131579,1927-04-24,"Aleea Silviu Oprea Nr. 377 Bl. 40  Sc. 22 Ap. 558, Voluntari, 180772",0758 031 793,50:49:a7:a1:f2:f9,125.129.179.131,RO11AACB3044499259531800,2024-08-07T21:16:47.000000,4304,493,268,1741659,78084449-ce87-4b18-9846-a4f560510ea7
Emilia Cristea,emiliacristea,emiliacristea@kappa.ro,8050305428278,1927-03-02,"Aleea Toma Nr. 35, Orsova, 508369",0754 147 237,4c:18:51:8e:5b:9f,170.95.109.59,RO66YTHO0991794145649654,2025-01-06T02:25:52.000000,4554,257,580,281761,f691e314-b6ef-4c45-8840-e05a251c14c4
Ecaterina Voinea,ecaterinavoinea,ecaterinavoinea@kappa.ro,2870309132876,1961-06-07,"Drumul Stancu Nr. 27, Lumina, 527639",0748 972 189,34:80:d4:95:e9:78,99.174.143.247,RO91MOCE7326952513023802,2025-06-12T11:59:10.000000,15840,788,409,1417322,9f95a829-079f-44d9-a708-6dd6f0c0932c
Lorena Stănescu,lorenastănescu,lorenastănescu@zzup.ro,8241209241724,1951-06-26,"Intrarea Oprea Nr. 81 Bl. 13  Sc. 63 Ap. 848, Onesti, 917332",0751 615 523,de:8b:fe:51:fb:5c,139.183.0.96,RO62ZFGW9390831837971486,2024-09-25T12:40:51.000000,14815,18,756,1383967,bb63bef2-8907-4dbf-9734-af7bc4b3055e
Eugen Dima,eugendima,eugendima@acasa.ro,5270805277793,1977-12-18,"Intrarea Tudor Nr. 856, Campulung Moldovenesc, 827978",0742 713 429,0a:22:41:eb:a0:44,71.0.102.76,RO52DENQ2826407443334340,2024-07-06T21:34:51.000000,8884,335,292,1050162,18ea5068-63fa-4164-a31d-a98cec21344b
Corina Ioniță,corinaioniță,corinaioniță@post.ro,7810824390950,1944-09-17,"Intrarea Stănescu Nr. 18, Curcani, 945137",0727 577 613,78:9d:73:e0:12:2b,184.173.250.197,RO60NUEQ2538865180487433,2024-12-18T16:52:46.000000,370,775,469,1165636,cc2dfdb9-02cd-4990-a224-8986782ce2f0
Mărioara Manole,mărioaramanole,mărioaramanole@post.ro,3300106523649,1982-12-29,"Strada Dobre, Techirghiol, 185912",0265 005 814,2a:32:8c:28:d7:87,11.15.232.57,RO68UAUU6787457438042544,2025-04-13T21:18:29.000000,23352,202,176,853753,59765bdd-fb64-4f58-b711-fd6a34157a8b
Paula Mazilescu,paulamazilescu,paulamazilescu@zzup.ro,1340421312947,1998-04-26,"Aleea Barbu Nr. 444, Botosani, 706836",0721 986 463,8a:c3:77:e1:44:7e,24.125.132.67,RO23RWPW3074040174119799,2024-07-19T22:51:24.000000,18036,586,80,894050,f4be8c13-6306-4dd8-aa33-6351e57d6adc
Aurelia Stancu,aureliastancu,aureliastancu@kappa.ro,8230308317721,1940-07-29,"Soseaua Ababei Nr. 11, Pecica, 359033",0264 572 148,9e:d0:89:26:eb:a2,50.79.225.87,RO22ILKI6516456148507655,2025-06-21T01:23:49.000000,28450,291,631,1302886,98fbb3be-b47c-4a81-8353-5340a0914b8c
